task_id,model,architecture,metric,value,passed,parse_valid,entry_point_present
HumanEval/0,gpt-4o,Basic,loc,8,True,True,True
HumanEval/0,gpt-4o,Basic,sloc,7,True,True,True
HumanEval/0,gpt-4o,Basic,comments,0,True,True,True
HumanEval/0,gpt-4o,Basic,multi,0,True,True,True
HumanEval/0,gpt-4o,Basic,blank,1,True,True,True
HumanEval/0,gpt-4o,Basic,cc,3,True,True,True
HumanEval/0,gpt-4o,Basic,halstead_volume,39.863137138648355,True,True,True
HumanEval/0,gpt-4o,Basic,halstead_difficulty,1.7142857142857142,True,True,True
HumanEval/0,gpt-4o,Basic,halstead_effort,68.33680652339717,True,True,True
HumanEval/1,gpt-4o,Basic,loc,17,True,True,True
HumanEval/1,gpt-4o,Basic,sloc,16,True,True,True
HumanEval/1,gpt-4o,Basic,comments,0,True,True,True
HumanEval/1,gpt-4o,Basic,multi,0,True,True,True
HumanEval/1,gpt-4o,Basic,blank,1,True,True,True
HumanEval/1,gpt-4o,Basic,cc,6,True,True,True
HumanEval/1,gpt-4o,Basic,halstead_volume,64.52932501298082,True,True,True
HumanEval/1,gpt-4o,Basic,halstead_difficulty,3.0,True,True,True
HumanEval/1,gpt-4o,Basic,halstead_effort,193.58797503894246,True,True,True
HumanEval/2,gpt-4o,Basic,loc,2,True,True,True
HumanEval/2,gpt-4o,Basic,sloc,2,True,True,True
HumanEval/2,gpt-4o,Basic,comments,0,True,True,True
HumanEval/2,gpt-4o,Basic,multi,0,True,True,True
HumanEval/2,gpt-4o,Basic,blank,0,True,True,True
HumanEval/2,gpt-4o,Basic,cc,1,True,True,True
HumanEval/2,gpt-4o,Basic,halstead_volume,4.754887502163469,True,True,True
HumanEval/2,gpt-4o,Basic,halstead_difficulty,0.5,True,True,True
HumanEval/2,gpt-4o,Basic,halstead_effort,2.3774437510817346,True,True,True
HumanEval/3,gpt-4o,Basic,loc,9,True,True,True
HumanEval/3,gpt-4o,Basic,sloc,8,True,True,True
HumanEval/3,gpt-4o,Basic,comments,0,True,True,True
HumanEval/3,gpt-4o,Basic,multi,0,True,True,True
HumanEval/3,gpt-4o,Basic,blank,1,True,True,True
HumanEval/3,gpt-4o,Basic,cc,3,True,True,True
HumanEval/3,gpt-4o,Basic,halstead_volume,13.931568569324174,True,True,True
HumanEval/3,gpt-4o,Basic,halstead_difficulty,1.3333333333333333,True,True,True
HumanEval/3,gpt-4o,Basic,halstead_effort,18.575424759098897,True,True,True
HumanEval/4,gpt-4o,Basic,loc,5,True,True,True
HumanEval/4,gpt-4o,Basic,sloc,4,True,True,True
HumanEval/4,gpt-4o,Basic,comments,0,True,True,True
HumanEval/4,gpt-4o,Basic,multi,0,True,True,True
HumanEval/4,gpt-4o,Basic,blank,1,True,True,True
HumanEval/4,gpt-4o,Basic,cc,2,True,True,True
